Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
I1205,161152,9394414.6,3240,110661,2,0.6,0.5,,T16573,
16120+0056,161159.4,564215,1983,512212,9 8,2,1.9,10290,,
16120+0320,161200,3203715.2,9822,1812700,,,,,T25958,
16120+2838,161200.9,28371715.4,9612,3012736,2,,,,T11126,
N6084,161202,17525615.4,9081,912212,1A,1,0.5,10291,T03533,
16121+1038,161202.2,10382215.1,3215,3312700,,,,,T16496,
16120+3817,161202.3,38163615.2,11211,3112700,-3,,,,T12517,
16121+2959,161211.3,29583615.3,10145,3312736,-2  P,,,,T09498,
16122+3500,161214.3,34594415.3,9807,2912700,-2A,,,,T12617,
16124+4825,161226.6,48251915.5,6105,3212700,,,,,T14910,
16124+3006,161228.3,30055815.5,10173,3412736,3B3,,,,T11239,
N6097,161234.6,35140114.9,9963,4312700,-1A,,,,T12311,
16127+3421,161242.3,34205015.2,8690,2712700,-3X,,,,T12518,
N6096,161242.6,26405715.3,9855,2512779,3,,,,T10684,
16128+2204,161248.2,22034615.3,9352,3012700,,,,,T11381,
16128+5232,161248.5,52315115.5,10015,1812700,,,,,170594,
I1206,161251.4,11251614.8,10123,912212,2A,1.1,0.6,10293,T16605,
A1612+1253,161253,12530015,0 9278,513,,,,,,MK1105
16130+0139,161259,1402415.2,8477,2512700,,,,,280495,
16130+3112,161302.3,31114215.5,6775,412218,4,1.2,0.5,10295,S11240,PGC57608
16132+6350,161315.3,63495814.5,5794,3612700,6,1.2,0.35,10298,T00402,
16132+1901,161315.6,19015615.1,2305,412218,5,2.1,0.25,10297,,PGC57627
16134+2614,161320.8,26140115.1,9658,3512700,,,,,T11424,
N6098,161321.3,19350614.6,9249,1013527,15,0.8,0.5,10299A,,"VV192, 12077 (0615)"
N6102,161335.1,28165415.4,7525,210661,1 3,1.5,0.9,10300,S11441,
A1613+6550,161336.2,65503715.3,38688,7592700,,,,,T03226,"MK876,Sy"
16136+4654,161339.1,46535415,5896,3212700,,,,,T14827,5911 (1140)
16138+6323W,161347.5,63230615.5,9464,41H2700,,,,,250995,W Comp
N6103,161348.4,32051614.4,9383,3512700,4,0.8,0.45,10302,T00433,
16138+5600,161351.8,55594815.2,16004,4212700,,,,,290495,
N6111,161352.5,62394113.8,2928,3112700,2,1.6,0.4,10304,T13125,I1210
16139+3131,161358,31315315.2,6752,3912736,3,1,0.35,10303,T11197,
I1208,161358.5,36390215.3,9666,2312700,-1  /,,,,T12519,
16140+6507,161359.4,65062214.8,3646,2212700,,,,,250995,
16140+3707,161404.2,37071415.5,9298,4312700,-3,,,,T08491,
16142+0021,161413.8,221414.8,9183,615502,3X5,2.4,0.8,10306,,PGC57694
16142+3802,161414.5,38022915.5,10904,3512700,1B P,,,,T08177,
N6100,161419.4,574814.7,4854,612218,-2,1.6,0.9,10307,T26319,PGC57706
16143+6154,161420.7,61541814.9,2933,1812700,,,,,240695,
16143+2723,161422.1,27220615.1,9939,3712736,2,,,,T11018,
16145+4231,161432.5,42311815.2,6954,1912779,,,,,T14720,A2172
16146+1939,161433,19383515.5,9079,4812700,,,,,T22431,
16145+5447,161436.4,54474515.1,5186,1812700,,,,,290495,
N6104,161440.1,35494914.1,8367,1612700,1B P,0.9,0.7,10309,T01140,"Sy1?,RING"
16148+4710,161449.1,47100814.9,713,412212,9B8s,3.2,2.4,10310,,"DDO204,Arp2"
16150+3550,161459.3,35492615.4,8177,2612700,-1  P,,,,T12618,
I1212,161500.9,64205015.2,9826,251-120,,,,,280695,
16153+1337,161515.9,13364815.2,10114,1110661,3,0.9,0.6,79089,T16566,
16153+1030,161516.7,10290415.3,9817,4012700,,,,,T16497,
N6105,161517.6,35000115.3,8820,5712779,1B r,,,,,6
N6107,161528.4,35012314.7,9217,2912700,-2A,,,10311,T01817,
16154+6033,161530.4,60330715.5,9754,2212700,,,,,240695,
I1215,161533,68311814,7745,1012216,3A,1.3,0.7,10315,T14666,KAZ065
N6108,161534.2,35152715.4,9366,4412779,1B s,,,,,8
16155+3119,161534.5,31185515.1,7175,3312736,5X4,1.7,1.1,10312,T10975,
I1211,161538.6,53074013.8,5615,2212700,-6,1.2,1.2,10314,T00391,
16156+1405,161539,14055015.5,8913,3412700,,,,,T16567,
16158+6413,161548.4,64131615.5,9734,3612700,20,1,0.25,10318,260995,
16157+2304,161548.6,23035915,4512,3212754,,,,,T11406,
N6109,161549,35073014.9,8934,3512700,-2A,1,1,10316,,*
I1214,161552.8,66052515,7136,1712700,0,1.1,0.5,10323,280695,
16159+1250,161553,12501315.4,14956,3212700,,,,,T16568,
I1216,161553,68281614.9,7614,9010523,5A,1.1,0.1,10326,,Kaz66
16159+2112,161556.4,21112015.4,9532,912212,2A,1.4,0.35,10320,T11389,
16160+4613N,161559.2,46124614.9,5691,37H2729,-5,0.55,0.25,10325A,T00417,"NW Comp,KDG494A"
16160+4613S,161559.3,46125015.5,5872,35H2700,-5,0.22,0.2,10325B,T14922,"SE Comp,KDG494B, 5807 (1140)"
16160+6528,161559.9,65283215.3,9893,3012779,,,,,250995,
16159+2220,161600.3,22204414.9,4401,410661,3,1.1,0.35,10322,,
N6112,161609.1,35135114.8,9319,18011114,-4,,,,,3
16162+5021,161613.6,50215415.5,12531,3612700,,,,,T14911,
N6106,161621.4,7315612.9,9 1455,502212,5A4s,2.5,1.3,12.8010328 22.0,L05233,
I1209,161622.6,15404215.1,8911,3312700,-2,1.6,1,10329,T12913,
16164+5927,161628.6,59263014.8,4471,1212218,20,1.6,0.25,10331,,"IR,PGC57731"
16164+4012,161628.8,40125415.4,9773,3612700,3B,1.1,0.9,10330,T08477,9891 (1140)
16164+2205,161628.9,22053715.3,4837,351-1,,,,,T11408,
N6114,161632.2,35174115.3,8691,18011114,2X s,,,,,10
16165+5220,161633.2,52192015,10168,6612779,,,,,290495,
I1218,161634.4,68192514.6,1000,2312216,,,,,T14683,"IR,KAZ069"
16165+5828,161636.5,58273015.4,4733,391-120,,,,,240695,
16166+2140,161638.9,21395615.5,9672,3712700,,,,,T11423,
N6123,161639.6,62033614.4,3986,2312700,0,0.8,0.2,10333,T00415,
16166+2546,161639.9,25461915.5,14442,3812700,,,,,T11417,
16167+3537,161642,35362215.2,10345,3112700,3,,,,T12644,
16167+6358,161643,63582015.4,3128,912212,10B8,1.6,0.8,10334,,DDO205
16168+0150,161646.1,1492215.4,1528,1212700,,,,,24001,
16168+1415,161652,14151314.8,8941,2312700,,,,,T16575,
16168+1412,161652.1,14114015.5,14759,3212700,,,,,T16574,
16169+1636,161656.2,16361015.5,10338,4412700,-3,1.1,0.4,10335,T24207,
16169+5431,161657.5,54313515.5,5392,1912700,,,,,60595,
N6116,161703.3,35162515.3,8800,18011114,4X2r,1,0.6,10336,,9
16171+0724,161703.7,7233914.9,8766,1 002,3 5 1,0.2,0.35,10337 126,,
16173+0205,161715.7,2044515.2,4968,1212700,,,,,24002,
16173+1836,161716.2,18355815.5,13580,2612700,,,,,T24342,
16173+0314,161718,3140015.3,8349,2312700,,,,,T26331,
16173+1523,161719.8,15235315.4,10219,531-1,,,,,T23951,
16173+0517,161720.1,5165115.1,7494,3612779,,,,,T20829,IR
16174+3440,161727.1,34393815.4,9925,2912700,3 3,,,,T12687,
N6117A,161729.9,37125114.7,8571,3412700,5A2s,1.3,1.3,10338,T08476,
16176+1037,161736.2,10364415.2,10798,3512700,,,,,T16473,
16176+0208,161736.8,2074014.3,5045,812212,15,0.7,0.45,10339,L05283,AK500
16178+3427,161745.5,34263115.5,9767,2812700,-1,,,,T12688,
16177+3124,161746.6,31240015.3,10308,2112779,-1A P,,,,T11226,
16178+0152,161747.8,1513115.5,9818,1612700,,,,,24005,
16178+0120,161748.1,1205015.3,9665,1112700,,,,,24004,
16178+3612,161751.8,36122515.3,9650,2712700,2X r,1,0.8,10342,T12469,
N6119,161754.9,37553015.4,9171,3712779,5A3s,,,,T08559,
16180+3821,161758.8,38211215.4,9431,2812700,0B T,1.4,1,10344,T08540,S*
N6120,161801.4,37533514.3,9203,2812729,20  P,0.5,0.4,14.0 10343,T01195,IZw141
16181+0728,161803.4,7280315.3,9251,3512700,,,,,T26332,
16181+1835,161805.1,18350015.5,10347,7612779,,,,,T24343,
N6127,161814.9,58061113,4609,3412700,-7,1.4,1.4,10345,T00198,N6128
16185+1450,161832,14512115.5,8717,3212700,,,,,T24208,
N6130,161834.6,57435614.2,5066,3212700,4B,1.1,0.7,10347,T00416,
16186+0419,161835.3,4190015.4,8389,4412779,,,,,T26040,
16188+1315,161849.7,13151115.2,10004,3212779,,,,,T16612,
16188+2117,161850.3,21170915.4,9299,2812700,,,,,T11418,
16189+2128,161853.9,21273415.5,9598,2712700,,,,,T11419,
16190+5003,161859.7,50033915.4,12008,331-1,,,,,,
16192+4014,161907,40132915.2,10177,2812700,2B,1.5,0.5,10349,T08515,10200 (1140)
16191+1438,161907.7,14385415.3,8710,3512700,,,,,T24209,
16193+3453,161918,34523415.4,9942,3412761,-2,,,,T12470,
16193+3610,161921.5,36110815.4,9644,3312700,1B P,,,,T12415,MK878
16194+1003,161924.8,10035015.5,10900,3012700,,,,,T16588,
16194+2846,161927.6,28452514.9,895,3612736,10:00 PM,1,0.5,10351,T10702,
16193+3228,161927.9,32275815.5,10415,3212736,1B R,,,,T11241,
N6126,161939,36293614.5,9759,2412700,-2A,0.9,0.9,10353,T01196,
16197+1000,161939,10001815.5,9838,3412700,,,,,T16587,
N6136,161955.2,56051415.5,8834,1912700,,,,,300495,
N6129,161956.8,38064514.7,10034,2712700,-2X,,,,T07302,HOLM741A
N6131,162007.6,39025714.2,5117,1812779,5X,1.1,1.1,10356,T03439,IR
16202+4933,162016.2,49335415,9740,2812700,,,,,T14881,9799 (1140)
16203+4034,162018.1,40335015.1,9277,510661,3,1.3,1.1,10357,T07165,9273 (0913)
N6143,162035.7,55121113.9,1594,1712212,4X T,1,1,10358,T12818,
N6140,162036,65303012.6,910,412212,5A,8,5.8,10359,,IR127293
16206+4937,162038.3,49381215.5,14890,3412700,,,,,T14880,
16206+3546,162039.3,35461815.3,9967,3812767,-3X P,,,,T12711,
16207+0153,162039.7,1520915.1,9090,2212700,,,,,24011,
16206+1442,162040.1,14430515.1,8708,3012700,,,,,T24200,
16206+5849,162042.6,58485315.4,9487,1912700,,,,,240695,
