Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
,,,,,,,,,,
I5378S,4,16215415.2,6387,23H2700,,1.5,1.3,00001S,T17116,"VV263A,Arp130,MCG 3-01-015"
00002+1837,12,18363314.8,7882,510650,1B,2,1,3,T11719,
00005+0356,23.3,3554815.5,8693,2212700,4A,1.3,0.8,4,T23513,
00005+1836,30,18360015.5,7894,2010650,,,,,T11720,
00006-0211,32,-2112914.3,7323,3112700,4X,1.3,0.8,5,T02072,
00006+3045,34,30454015,4797,912212,,0.7,0.3,,,
00006+2142,35.6,21405414.4,6600,812212,5:00 PM,1,0.7,6,,"Sy2,MK334,IVZw1"
00006+2454,36,24540015.5,7753,912212,,,,,T13521,IVZw2
I5381,37.6,15411414.9,11231,1010650,15,1.5,0.4,7,T11882,
N7814,41.1,15520312,1050,410611,2A s,6.5,2.7,11.3500008,T00610,
00007+0320,42,3200015.3,8009,311-1,,,,,T11754,
00008+0820N,52.3,8203015.5,11902,40H2700,5A,1.9,1.7,00010A,T11755,"NE Comp, LSB Spiral"
00009+0525,54,5250015.2,6188,610651,,,,,T11806,
00009+1628,54,16280015.5,6295,2010650,,,,,S17117,
00009+2705,55.2,27042215,7690,3012700,0B,1.1,1,13,T10110,MCG 4-1-15
00010+2256,101.2,22551914,7229,1011761,5,1.9,1,14,T03645,
00012+1555,112,15550015.4,6412,1010650,,,,,T11883,
N7816,115.2,7120314,5241,510620,4,2,2,16,T16711,
N7817,124.9,20281812.7,2310,110658,4A,4,1.1,19,T07876,
N7818,136,7050015.1,6201,110651,5A,1.1,1.1,21,T11533,
00017+1030,138.9,10304415.2,7887,3012700,3B,1.3,0.9,23,T11516,
00017+2219,142,22190015.4,4442,2010624,5B,1.2,0.8,24,,
N7819,150.3,31113814.3,4958,612212,3B s,2,1.8,26,T17097,
00019+4713,152,47124315.1,5269,421-1,,,,,T24717,
00019+0534,154,5340015.3,3118,110651,5A,2.2,1.2,27,,3118 1 (0651)
N7820,156.7,4551313.9,3064,1912700,0,1.6,0.7,28,T00840,
00020+2802,200,28020015.2,8785,3312700,-7,1.3,1.2,29,T10053,
00022+2633,212,26330014.6,7570,912212,,,,,T05614,
00023-0146,215,-1463515,7110,5110002,,,,,,"MK544,MCG 0-1-24"
00023-0151,218,-1510015.1,7139,3712700,,,,,T11742,MCG 0-0-25
00023+1655,218.2,16545015.3,1034,410639,10,1.4,1.1,31,,
00025+0451,230,4510015.4,5295,2612700,0B,1.2,0.9,33,T11902,
N7824,232.2,6383314.5,6134,2812712,2,1.9,1.3,34,T03778,
N7825,236,4560015.5,8104,281-1,,,,,T11901,
00027+0630,240.1,6293614.7,6291,1310651,1A,1.7,0.8,36,T03779,
00029+4616,252.9,46155515.3,4980,611-1,,,,,T24718,
00029+0454,254,4540015.5,5824,3112700,3B,1.3,0.4,37,T11900,
N7827,254,4570014.6,5294,2512700,-2B,1.4,1.3,38,T11899,
00028+3215,254.4,32151015,10422,912212,,0.9,0.9,,T19296,MCG 5-1-31
00032+2710,312,27100015.2,7531,2010624,3A,1.2,0.7,40,,
00036+5416,338.3,54150615.5,5588,2312700,20,1,0.4,45,T23730,
A0003+1955,345.1,19552714,7730,1912700,-6,0.3,0.3,14.1,T03655,"Sy1,MK335"
00038+1709S,347.2,17090515.1,5448,10H0650,,0.4,0.2,00046B,T02113,"KDG1A,South"
00038+1709N,347.6,17093215.3,5510,23H1804,20,0.55,0.18,00046A,T02112,"KDG1B,North"
N7834,406,8050015.4,5231,110651,5,1.4,1.3,49,T07370,
00041+2553,407,25524014.9,7552,2912700,2A,1.3,0.3,50,T11587,
00042+0450,412,4500015.3,5368,510651,4B,1,0.7,51,,
00043+1902,416,19023415.5,7894,510650,4X,1.4,0.8,53,T15074,
00042+0821,416.1,8210915,5257,210651,5A,1.8,1.8,52,T11517,
N   1,441.3,27255013.4,4545,512212,3A s,1.8,1.2,57,T16172,KDG2A
N   2,442.5,27240414.8,7550,912212,2A,1.1,0.7,59,T16713,KDG2B
N   3,442.7,8012314.6,3900,4910502,-2,1.2,0.7,58,,AK1
N7831,444.5,32194813.4,5072,912212,5,1.8,0.35,60,T19297,I1530
00049+4646,448,46454514.3,5277,5712700,-2,1.6,1.4,61,T23729,
00049+4643,449,46423715.3,5097,501-1,,,,,T24719,
00051+2518,506,25180015.5,7054,912212,,,,,T13520,
00052+4036,508.4,40354915.5,273,171-1,15,1.4,1.1,64,T21865,
N   5,513.8,35050314.6,5009,3212700,-7,1.2,0.7,62,T19439,IVZw7
00053+2008,518,20080015.5,7865,1010650,,,,,T15075,
00053+3927,518.8,39262215.4,13314,351-1,,,,,T19924,
N7836,526.6,32473213.8,4904,912212,-5,1.1,0.7,65,T03780,MK336
00055+0926,531.3,9260914.9,6423,1610651,3X,1.5,1.3,66,T11534,
00056+2644,535.3,26433114.4,8741,3612765,3,1,0.55,68,T03630,
00056+0730,536,7300015.4,11846,3412700,2A,1.5,0.5,67,T11589,
00056+2715,538.2,27151414.7,4638,2010624,5A,1.3,0.9,69,,
00059+0956,554,9560015.4,6437,331-1,,,,,T11629,
00059+1752,557.4,17530415.4,12628,510650,,,,,T11631,
00061-0100,604,-1005515.5,11924,2712700,1A,1.1,0.5,72,T11686,
N  11,607.1,37101014.5,4389,2010649,1A,1.6,0.2,73,T21644,
N  12,610.9,4200514.5,3941,410651,4B R,2,1.7,74,T02151,
N  14,612,15321313.3,865,110651,10B P,3,2.5,75,T03697,"VV80,Arp235"
N  13,612.8,33092114.2,4808,912212,5,2.5,0.7,77,,
N   9,620.1,23322414.5,4528,912212,7:00 PM,1.3,0.7,78,T03698,
N  15,626.6,21210014.9,6332,1010650,1A,1.2,0.7,82,T11630,
N  16,629.7,27270812.5,3041,2312700,-3X,1.8,1,12.950008,T02562,
00069+4705,652.2,47044014.5,5153,1012212,4A,1,0.4,85,,
00070+4751,656.4,47512615,5388,301-1,,,,,T24720,VZw4
N  20,657.5,33015314.5,4901,3112700,-3,1.7,1.5,84,T19496,
00071+4934,706,49333715.2,9960,5514302,,,,,,
00072+2805,712,28050015.1,8315,3212700,-7,1.2,1.2,87,T15589,
N  22,713.2,27330714.9,8312,912212,3A,1.8,1.4,86,T15522,
00073+2631,716.3,26304315.5,17225,912212,,,,,T15210,
00073+0425,718,4250015.3,4020,2812700,0,1.2,0.9,88,T11688,
N  23,718.6,25384212.5,4566,210658,1B s,2.2,1.6,12.8000089,T15613,MK545
00074+2756W,726.5,27555314.7,8168,912212,3A,1.5,1.3,00092A,,SW Comp
00077+3150,742,31500015.2,19370,281-1,,,,,T19510,
N  26,751.3,25331613.9,4593,110658,2A T,2,1.1,94,T15614,
N  27,757.7,28430914.5,7033,912212,5,1.5,0.6,96,T04008,KDG3B
00080+1619,800,16190015.2,10432,510650,,,,,T12177,
N  21,805.9,32421813.9,4788,310622,3B,1.2,0.6,98,,KAZ019
00081-0019,806,-190015.3,11628,361-1,,,,,T11689,
00081+3535,806.3,35342915.5,6159,1010649,,,,,T19597,
00082+2818,808.2,28171015,8651,912212,,0.6,0.6,,S15540,
N  29,811.5,33042413.5,4770,412216,4A,1.6,0.7,100,,KAZ019
00083+2517,818,25170015.4,10231,2010624,1B,1.4,0.6,101,,
00084+2947,824,29470014.8,6791,912212,1X,1.6,1.3,102,S15720,
00085+0224,842,2240015.3,812752,5900105,0,0.6,0.5,,,MCG 0-1-35
00087+2838,842,28380015.1,8046,912212,-2B,1.2,1.1,105,S15619,
N  36,848.4,6064214.5,6066,2112700,3X T,2.7,1.5,106,T17135,
00091+2042,907.9,20414715,13900,5010300,,,,,,MK337
00092+2814,909.6,28131814.8,8042,310662,3B,1,0.5,108,S15541,
00092+3250,912,32500015.4,14058,3012700,,,,,T19104,
00094+2607,924,26070015.3,4510,2010624,5A,1.3,0.8,110,,
00096+2738,933.7,27380015.3,7491,912212,,0.6,0.3,,T15191,
00096+1146,936,11460015.4,6342,912212,5,1.3,0.4,111,,
I   3,936,-400015.1,5416,241-1,,,,,T11687,
00097+2203,940.7,22023814.9,7629,2010624,1A,1.2,0.4,113,,
N  39,943.6,30470314.4,4857,1112212,5A,1.2,1.1,114,T17198,
00101+0514,1001.2,5132215.4,8474,912212,20,1.2,0.5,116,,
00102+3306,1012,33060015.2,4756,912212,7,1.7,1.2,117,,
N  41,1012,21460014.6,5949,912212,,,,,T15076,
N  42,1018,21500015,5981,3512700,-3,1.1,0.6,118,T15077,
00104+3858,1023.9,38580615.4,4613,2812700,5B,1.2,0.7,121,T21796,
N  43,1025.1,30381613.9,4785,1012212,-2,1.4,1.3,120,S03562,
00104+1408,1028.3,14075814.2,2032,110651,16  P,1,0.6,119,T02100,
00105+1814,1030,18140015.5,12503,510650,,,,,T12155,
00107+1645,1042.2,16451815.2,854,210656,10,2.6,0.4,122,,
00108+2806,1048,28060015.5,7337,3112700,1A,1.1,0.2,124,T15674,
I   4,1052.4,17122614.2,5004,1010650,5,1,1,123,T02084,
00110+4825,1104.2,48250315.1,5187,211-1,,,,,T24721,MCG 8-1-29
00111+2955,1107.6,29550014.7,7148,912212,,0.8,0.3,,T15539,MCG 5-1-55
I1534,1107.6,47522315.2,5224,1512700,-2,1.1,0.4,125,T23787,
00113+0326,1118,3260015.5,11802,3212700,3B,1,0.9,129,T12156,
I1535,1119.4,47524815.2,5231,181-120,20,1.1,0.2,131,T23788,
00113+3037,1120.9,30361814.2,4735,3012700,-6,0.45,0.35,130,T03599,
00114+1242,1124,12420015.3,1666,4612700,15,1.6,0.5,132,T17728,
N  48,1124.1,47572415,1776,810908,,,,133,,
00116+2816,1136,28160015.3,7140,2012700,,,,,S17118,
N  49,1144.4,47580615.3,4774,2412700,-1,1,0.9,136,T23786,
00118+2814,1148,28140015.5,7231,2312700,,,,,T17119,
N  51,1156.6,47583914.6,5351,181-1,0,1.4,1.3,138,T23785,
00120-0100,1158.1,-1005514.8,3953,1011758,5X3,2.4,1.3,139,T12157,
N  52,1205.2,18182714.6,5392,510649,20,2.6,0.5,140,T12178,
00123+2603,1219.6,26031014.8,7350,912212,,,,,T15193,MCG 4-1-44
00124+1633,1222.9,16333315.4,17010,510649,,,,,30197,
N  57,1255.9,17025613.7,5458,2212700,-7,2.6,2.1,145,T00558,
00131+2710,1306,27100015.4,7483,2512700,-2,1.2,0.6,146,T17555,
00131+2923,1306,29230014.6,6710,2412700,0,1.7,0.25,147,T16758,
00132+1930,1312,19300015,6412,351-1,,,,,T15187,
00132+1944,1312,19440015.4,7721,371-1,,,,,T15186,
00132+1548,1316.4,15484114,4213,510649,5,1.5,0.4,148,T00759,
N  60,1324,-340015.4,11806,2013542,20,1.6,1.6,150,T23543,
00136+1003,1336,10030014.7,5240,2312700,-1,1.3,1.2,151,T11865,
00138+2842,1348,28420015.2,7327,291-1,,,,,T16842,
00138+3006,1348,30060014.8,6251,2912700,,,,,T17608,
00140+3555,1357,35551415.5,10595,261-1,,,,,T19440,
00140+0120N,1405.9,1195615.4,13407,20H3542,,,,,30197,NE Comp
00142+0647,1409.5,6475314.6,3966,110651,20,1.6,0.4,155,T11951,
00142+0026,1412,260015.5,13438,331-1,,,,,T11866,
00142+1204,1412,12040015.3,1136,110651,10 9,3,2,156,,
00142+2920,1414.6,29201314.8,6895,912212,,0.5,0.5,,T15195,
00143+2215,1418,22150015.1,5381,2412761,,,,,T15078,
00143+2735,1418,27350015.1,9153,2612700,3B,1.1,0.9,157,T16844,
00143+2737,1418,27370014.7,4459,201-1,,,,,T16845,
00144+2940,1426.2,29394714.8,9690,912212,,0.8,0.4,,S17120,
00144+4153,1427,41530115.5,5071,1012212,3A,1.9,0.6,158,,
00147+2956,1440.5,29561015.3,6292,912212,,0.6,0.4,,S17121,MCG 5-1-61
00147+0627,1444.9,6264415.4,5651,410651,5B,1.1,0.6,163,T07369,
00148+1747,1448,17483715.2,5443,1010649,4B,1.8,0.7,164,T17729,
00149+2559,1454,25590015.4,7456,912212,,,,,S17122,
00149-0114,1454,-1140015.3,5386,351-1,,,,,T11867,
00150+2956,1500,29560015.5,4834,912212,5A,2.4,1.2,166,T17279,
00150+2423,1505.7,24232315.4,6047,2010624,2A,1,0.2,165,,
N  63,1510.8,11101812.6,1160,110651,-5  P,1.7,1.1,167,T07875,
00153+0003,1518,30015.5,5371,331-1,,,,,T11756,
00153+2417,1523.9,24170314.8,5846,251-1,,,,,S17124,
00154+2911,1524,29110014.8,6864,201-1,,,,,S17136,
A0015+1254,1535.5,12544615,4131,2372765,,0.8,0.3,,,
N  68,1541.6,29474014.5,5802,2912700,-3A,1.2,1.1,13.950017,T17137,
00157+1906,1543.1,19070014.8,5422,510649,5X,1.1,0.9,169,T15160,
00157+4827,1544.6,48271214.4,5275,710930,10,0.9,0.7,171,T13593,
N  70,1545.8,29481114.5,7167,912212,5A T,2,1.6,174,T17138,"VV166A,I1539,Arp113"
N  71,1547,29470714.8,6770,2612700,-3A P,1.3,0.9,14.0000173,T17139,VV166C
00158+4943,1547.1,49431515.5,5283,1012212,5X,1.3,0.9,175,,
00158+1814,1548,18140015.3,5225,510649,,,,,T15079,
N  72,1551.8,29454515,7036,2712700,2B T,1.3,1,14.4500176,T17140,7259 9 (2212)
N  72A,1557.6,29453015.1,6942,3112700,-5,,,15.6,T15199,
00160+7926,1558.5,79250215.4,10880,391-1,20,1.3,0.5,177,T23097,
I   7,1612,10200014.7,5367,331-1,,,,,T11936,
00161+4744,1613.7,47441914.5,5113,171-120,20,1.2,0.6,178,T24888,
00164+2312,1624,23120015.3,4464,2010624,5A,1.3,0.7,179,,
00165+1907,1624.8,19071015.4,5354,1010649,1A,1.3,0.3,181,T15161,
00165+1528,1630,15280015.3,11073,3012700,2A,1.2,0.4,180,T17557,
N  75,1648,6100014.8,5800,2612700,-2,1.9,1.9,182,T11590,
00169+4658,1655.4,46574913.8,5192,1912700,3A,1.6,0.7,183,T24887,
N  76,1700.9,29392814,7369,3412700,-2,1.4,1.2,185,T03613,
I1540,1712,23300014.9,5834,2010624,3B,1.1,0.5,186,T13297,
00173+1942,1718,19420015.5,7807,510649,,0.6,,,,KDG4A
I1541,1724,21440015.5,5926,251-1,,,,,T13298,
00175+0612E,1728.5,6111015.4,10161,15H3700,,0.5,,,,"KDG5B, SE Comp"
I  10,1741.5,59005211.7,0 -348,160912,10B,8,7,11.7000192 0.82,,
I  13,1745.8,7252515,5711,210651,4A,1.5,0.6,195,T11591,
N  78A,1748,330015,5030,35H2700,0B,1.3,0.9,193,T13775,KDG6A
N  78B,1753.5,332014.5,5481,2612700,10B,1.2,1,194,T02096,"MK547,KDG6B"
00179+4710,1754.2,47092714.2,5136,912212,5B,1.5,1.1,196,,
I1542,1805.3,22185515,7352,912212,,,,,T13303,
00182+1945,1812.7,19452315.1,7690,510649,1A,1.2,1.1,197,T11880,
00182+2115,1815.7,21153315.3,5926,812324,,,,,T13300,
I1543,1819.8,21351814.2,5565,2612700,2,0.8,0.7,198,T02114,
N  79,1824,22180014.9,5490,271-1,,,,,T13301,
00185+2614,1829.9,26140815.5,11665,912212,20,,,,,
00185+2657,1831.9,26560414.5,9221,2512700,-2B,1.4,0.8,202,T05953,
N  80,1835.1,22045113.7,5698,2212700,-3A,2.2,2,13.1000203,T00806,
00186+2922,1836,29220015.3,9241,331-1,,,,,T17529,
00186+3011,1836,30110015.2,4679,1513700,,0.6,,,,KDG7A
I1544,1840.6,22484914.6,5714,912212,5A,1.4,0.9,204,,
00187+3014,1842,30134715.3,4713,1513700,5B,0.8,0.7,,,"KDG7B,MCG 5-2-2, 4840 9 (2212)"
N  83,1846.6,22093014.3,6304,2812700,-5,1.3,1.2,13.7000206,T00807,
00188+2921,1848,29210015.1,9273,291-1,,,,,T26802,
N  86,1854,22180014.9,5599,271-1,,,,,T13302,
00189+3749,1855.7,37485715.3,10908,3912754,,,,,T12093,
N  91,1915.5,22072314.5,5177,3412700,5X P,2.4,0.9,208,T00808,5353 7 (2212)
00193+4851,1920.4,48512114.8,5163,361-1,,,,,T17582,
00194+2328,1924,23280015,4481,2010624,3A,1.3,0.45,210,,
N  93,1928.6,22084614.7,5687,2010624,20,1.5,0.7,209,,5380 10 (2212)
N  95,1939.3,10130013.4,5380,510620,5X T,1.8,1.3,13.2500214,T16961,
00197+2958,1942,29580015.2,6441,181-1,,,,,S16962,
00198+2913,1949,29133314.9,7019,1912700,1B,1.3,0.8,215,S16759,7091 9 (2212)
00198-0134,1949.4,-1345115,4860,171-1,3A,1.7,0.7,212,T23630,
N  97,1952.7,29280613.5,4730,2712700,-7,1.5,1.3,216,S03614,
00202+2940,2008.4,29394715.5,9182,912212,5,0.8,0.3,,T16963,MCG 5-2-8
00202+2353,2012,23530015.4,12466,3312700,,,,,T15081,12556 9 (2212)
00203+0633,2018,6330015.3,7583,3012700,,,,,T11933,
I1549,2018,6420014.9,12114,2912700,20,1.4,1.4,218,T11592,
00206+2710,2034.1,27092114.5,3883,3512700,5:00 PM,0.7,0.5,221,T03574,
00206+2933,2036,29330015.4,8403,191-1,,,,,T15060,
00207+2440,2039.5,24404015.5,17974,912212,,,,,S17313,
00211+3017,2106,30170015.1,6415,241-1,,,,,T16923,
00212+2640,2112,26400014.7,9343,221-1,,1.5,1.1,227,T16924,
00212+1424,2112.5,14243715.1,5400,11010526,,1.2,0.6,226,,"MK338,M2-2-5"
00213+2803,2118,28030015.3,7208,612212,3,1,0.5,229,,
00213+2402,2121.5,24020714.8,5683,2010624,4A,1.3,0.9,228,,
N  99,2124,15293314,5310,510620,6:00 PM,1.5,1.5,230,T17032,
00214+2523W,2125.4,25230715.5,7378,9H2212,,,,,T15314,West
N 100,2127.9,16125614.6,841,512812,5A,5.8,0.7,231,,
00216+1358,2136,13580015.4,5390,1810811,,,,,T12128,
I1550,2148,37550015.1,5908,371-1,,,,,T21645,
00220+2900,2200,29000014.8,4774,1051 0,,,,,,
00220+3259,2201,32584614.7,4842,912212,3B,1.5,1.5,232,,
00220+0301,2204,3024315.4,5388,1713800,,,,,,IIIZw7
00221+1433,2207.4,14324314.6,5279,812212,15,1,1,233,,MK339
00222+2048,2207.4,20492515.5,5355,3612700,,,,,T11809,
00223+4323,2218.3,43230915,5104,1251 002,-4,1.1,1.1,236,,
00224+0623,2224,6230015.4,8689,2212700,1B,1,0.5,237,S11671,
00224+3105,2225.6,31040414.4,6796,1312216,6,2,0.5,238,T03631,KAZ023
00226+2946,2235.9,29453315.5,4855,912212,5B,0.8,0.7,,,MCG 5-2-11
00226-0123,2236,-1230015.3,11368,361-1,,,,,T12235,
00227+0613,2242,6130014.9,8657,2415502,3X,1,0.5,240,T11672,
00227+4813,2245,48125215.5,5405,271-1,,,,,T24874,
N 105,2248,12370014.1,5133,3012700,2A,0.9,0.7,13.9000241,T16846,
00228+4539,2248.8,45384214.9,5073,2215502,3A,1.9,0.4,243,T17583,
00228+1956,2252.6,19573914.3,4300,3312700,5B,2,1.7,242,T02229,
00229+2433,2254,24330014.9,4525,3612700,4X,1.1,0.5,244,T07367,
N 108,2321.2,28560513.3,4737,2512700,-2B,2.3,2,246,T03615,
00234+2527S,2328.8,25263215.5,10266,40H2748,10,1.9,1.3,15.9600248B,T07638,HCG1B
00234+2527N,2329.9,25265415.5,10237,39H2748,5,1.9,1.3,14.8700248A,T07637,HCG1A
00236+1322E,2334.6,13224115.2,5271,5H0639,20,1.7,1,249,,KDG9B
00236+1231,2336,12310015.2,5281,321-1,,,,,T12129,
N 109,2336,21320015,5458,1912700,1B,1.3,1.1,251,S04355,KDG8B
00239+0601,2349.1,5595915.3,11434,3412700,3X,1.4,0.8,253,T11810,
00242+4850,2409,48502515,5720,20012411,,,,,,
N 112,2410.5,31253514.5,6286,1012216,4,1.3,0.6,255,T03575,"KAZ024, 6249 43 (2700)"
N 114,2424.7,-2034815,3690,7015511,-2B,1.3,1,259,,"MK946, 4131 (1819)"
00245+1118,2428,11182714,2131,510620,5A,3.1,0.7,260,T00874,KDG10B
00246+2354,2436,23540014.8,7290,2812700,15,1.3,1,261,T15088,7348 (0002)
N 117,2436,1030015.5,5363,4012700,,,,,T23471,
00246+3931,2436.2,39305715.1,10774,1051 0,15  P,1.2,0.6,262,,IVZw20
00247+1947,2438.1,19474715.2,5591,2812700,20,1.3,1,265,T15090,
N 118,2442.8,-2032514.9,11232,15514302,,1.3,0.9,264,,"MK947,IIIZw9"
N 120,2456.6,-1472514.8,4084,4912700,-2,1.6,0.6,267,T23590,
I1551,2459.4,8355515,13040,912212,20,2.6,1.3,268,,
00253-0128,2516.5,-1283915.5,3897,1 002,5A,1.8,0.8,272,,
00253+0312,2517,3124915.5,1371,1313800,,,,,,
N 124,2518.7,-2051713.8,4044,3112700,5A,1.6,0.9,271,T00841,
00254+0214,2525.2,2135714.9,4385,615502,3A,1.9,0.9,275,T21471,
00255+4849,2528.5,48485715.4,5266,201-1,,,,,T24875,
00257+3032,2536.6,30313314.3,6276,2010622,7B,1.8,0.5,279,T03616,
00257+3055,2538.4,30552315.1,14719,912212,,0.7,0.7,,T16847,
00257+2707,2545.5,27055615.3,9619,2010624,4B,1.5,0.4,278,,
00258+0307E,2547.6,3064615.5,3979,50H2700,,1.4,1,283,T24942,East
00259+0444,2554,4440015.3,1344,110651,,,,,T23544,Z409-018
I  17,2554,2220014.8,4317,291-1,,,,,T07328,
00259+3300,2554,33000015.1,4731,912212,7B,1.6,1.1,284,T07379,
00259+3053,2556.1,30524015.3,6070,912212,5,0.9,0.25,,,MK340
00260+4346,2559.7,43463015.5,11575,241-1,,,,,T26816,
00261+3025,2606,30250015.4,6289,311-1,,,,,T13211,
00262+0309,2612,3090015,4500,10502,,,,,,
00262+1122,2612,11220015.5,5115,301-1,,,,,T11934,
00262+2840,2613.5,28395315,2169,2212700,1A,1,0.3,285,S16857,
N 125,2616.2,2334814.2,5306,812212,0A,1.6,1.5,13.2000286,T07339,
00265+3043,2628.7,30434015,6098,912212,,0.8,0.4,,T13212,
N 126,2634,2320015.5,4252,5013700,,,,,,
N 127,2636,2360015.5,4094,40H 0 0,-2A,,,15,,
N 128,2640.8,2352013.3,4227,21H2700,-2  P,3,0.9,12.6000292,T07327,
N 130,2642,2360015.5,4548,70H 0,-3A,,,15.1,,
00268+3017W,2646.6,30165915.4,15119,47H3700,,0.4,,,,"KDG11A,MK551NW,IVZw23"
I1552,2705.8,21114715.4,5600,912212,20,1,0.2,297,,
00271+1120,2706,11200015.5,5060,281-1,,,,,T12039,
00271+2947,2706,29470015.4,4845,251-1,,,,,T15063,
00272+3107,2712,31070015.3,6305,912212,5A,1.6,1,299,,
00274+3803,2724,38030515.5,11140,271-1,,,,,T21419,
N 132,2736.5,1490213.8,5361,912212,4X,1.9,1.7,301,T00776,
00278+0641S,2743.8,6410315.5,17389,37H-1,,,,,T12055,South
00279+0536,2754,5360015.2,6935,331-1,,,,,T12130,
00280+1305,2758.3,13052415.3,9934,7710105,5A,1.4,1.2,305,,
00280+1224,2803.5,12241515.2,9454,261-160,0,1.1,0.7,304,41297,
N 137,2822.8,9555814.2,5276,3012700,-2,1.6,1.6,309,T02101,
N 138,2824,4540014.8,11894,3112700,1A,1.4,0.7,308,T12201,
N 139,2832.1,4481015.5,12193,3412700,-1B,0.8,0.5,,T23472,13275 (0002)
00286+2843,2839.8,28430014.8,4655,210661,5A,1.3,0.4,310,,
N 140,2841.5,30305114.2,6433,912212,5,1.5,1.3,311,T03646,
00287+0812,2843.7,8115715,4366,3412748,11,0.4,0.3,14.63,T03754,"MK552,HCG2B,MCG 1-2-18"
N 141,2848,4550015.4,11760,311-1,,,,,T12202,
00288+0811,2848.8,8113214.6,4364,310651,7B,1.7,0.8,13.8400312,T03755,HCG2A
00289+0556,2851,5555314.3,2085,210651,7,1.4,0.8,313,T01989,
00289+0807,2854.3,8072815.4,4271,210651,5B,1.2,0.9,14.6000314,T11970,HCG2C
00295+3124,2930.3,31240715.1,6343,912212,4A,1.6,1,319,T07368,
00299+2308,2954,23080015.4,4668,2010624,5X,1.6,0.3,321,,
00300+3028,3005.2,30282715.2,6120,912212,5,1,0.4,,,
00302+3022,3012,30220015.1,6145,221-1,,,,,S10480,
00303+1127,3012.9,11272915.3,4904,3612754,20,1,0.3,323,T11971,
N 147,3027.4,48135611.4,8 -188,4502700,-5  P,15,9,10.4000326 0.67,,DDO3
00309+1940,3054,19400015.5,12605,331-1,,,,,T12247,
00310+2308,3100,23080015.4,5179,912212,,,,,T15135,MCG 4-2-30
00310+3917,3100.3,39160915,5868,321-1,-2,1.4,0.5,330,T21646,
00312+0658,3112,6580015.2,5445,2812700,1B,1,0.5,331,T11846,
N 149,3112,30270015,4843,2912700,-2,1.3,0.8,332,T16757,
00314+0659N,3120.5,7001315,5474,40H2700,,0.9,0.5,00335N,T02202,NW Comp
00314+0659S,3122.4,6593414.5,5449,29H2700,-2,1.6,1.2,00335S,T01988,SE Comp
00317+3920,3140,39193415.5,5863,181-1,4X,1,0.2,338,T23003,
00317+0516,3142,5160715.1,12740,1510661,,0.7,0.5,409037,T12112,
I  31,3148,12000015.5,9505,2812700,2A,1.4,0.25,340,T11847,
00321+3917,3209.3,39161015.4,5780,1012212,7,1.2,0.7,344,,
00323+3140,3218,31400014.8,5871,912212,4A,1.1,0.5,346,,
00325+1405,3230,14050015.3,11316,371-1,,,,,T17435,
00325+2303,3230,23030015.1,11334,912212,,,,,T15190,
00326+2932,3234,29312715,6972,912212,,0.6,0.3,,S17033,
I  34,3300.8,8505113.9,5299,2512700,1B,3.2,1.2,351,T00875,
00333+3136,3315.9,31354614.5,6356,912212,4B,1.2,0.35,355,T03576,
00334+0827,3324,8270015,11660,321-1,,,,,T11972,
N 160,3326,23410013.7,5327,2912700,-1A P,3,1.6,13.4000356,T03577,5253 5 (2212)
00336+0126,3336,1260015.3,5417,3012700,20,1.3,1.3,358,T23474,
00336+0422,3336,4213615.5,4933,161-1,20,1,0.4,359,T23473,
00336+1222,3336,12220015.3,10064,8510105,-4,0.7,0.4,,,MCG 2-0-22
00337+4524,3336.8,45232215.3,14293,4812700,,,,,T05352,Sy1
00337+3238,3339,32374015.2,4877,912212,,0.9,0.4,,T19526,MCG 5-2-28
N 170,3406,1350015.4,4269,3412700,,,,,T23475,
00341+2117,3407.7,21173514.5,8925,3312700,6,1.2,0.45,364,T04407,
N 169,3413.7,23430013.3,4627,812212,2A s,3.5,1.1,365,T03898,"Arp282,MK341,KDG13B"
I1559,3413.8,23423613.7,4595,1712212,-2X P,3.5,1.1,,T03897,"MK341,KDG13A"
00344+2525,3426.7,25252614.8,9548,1513527,-5,1.7,1.6,367,,
00344+2834,3428.5,28333715,1986,912212,,0.7,0.3,,T15259,
00345+3538,3430.8,35374115.5,4450,3512700,,,,,T19708,MK953
00345+2534,3431.9,25335315.3,9014,912212,,,,,T15232,
N 173,3438.3,1400314.5,4365,412212,4A T,4,3.5,369,T17643,
00347+2853,3441.6,28523215,5276,912212,5A,1.8,0.15,371,,
00351+0000,3502.1,2115.4,10517,2012700,,,,,S05345,"MK955,MCG 0-2-94"
00351+2522,3506,25220015,7231,341-1,,1.2,1.2,375,T15249,
I  35,3506.5,10051315,4586,712212,5A,1.3,1.2,374,,
00352+0556,3512,5560015.5,12429,171-1,,,,,T23586,
00353+0437,3520.9,4381315.4,8486,810661,,1,0.2,409049,T19242,MCG 1-2-38
N 180,3522.1,8213314.3,5281,110661,4B T,2.8,2.3,380,T19015,
00355+3037,3530,30370015.3,5478,291-1,,1.6,1.2,381,T19105,
N 182,3538.2,2271513.5,1 5261,600620,1X T,2.3,1.8,13.4000382,T05543,
00357+3222,3541,32214614.9,4702,912212,5A,1.9,1.7,384,,
N 181,3543.5,29115315.4,5535,912212,,0.8,0.2,,T15316,
